Total IRAM section .iram0.text size: 95175 bytes

Function                             Size (KB)    % of IRAM   Cumulative %
mmu_hal_unmap_region                      0.10         0.11%          64.30%
timer_remove                              0.10         0.11%          64.40%
esp_opiflash_init                         0.10         0.11%          64.51%
mmu_hal_paddr_to_vaddr                    0.10         0.11%          64.61%
esp_intr_noniram_enable                   0.10         0.11%          64.72%
ets_timer_arm                             0.10         0.10%          64.82%
rcUpdateTxDone                            0.10         0.10%          64.92%
os_timer_arm                              0.10         0.10%          65.03%
ram_chip_i2c_writeReg                     0.10         0.10%          65.13%
xRingbufferSend                           0.10         0.10%          65.23%
pthread_mutex_unlock                      0.09         0.10%          65.34%
clear_pend_core                           0.09         0.10%          65.44%
s_flash_init_mxic                         0.09         0.10%          65.54%
vRingbufferReturnItemFromISR              0.09         0.10%          65.64%
lock_release_generic                      0.09         0.10%          65.74%
xPortCheckValidTCBMem                     0.09         0.10%          65.84%
spi_bus_lock_acquire_start                0.09         0.10%          65.93%
rtc_clk_cpu_freq_set_config               0.09         0.10%          66.03%
vRingbufferReturnItem                     0.09         0.10%          66.13%
regi2c_ctrl_write_reg_mask                0.09         0.10%          66.22%
wifi_bt_common_module_enable              0.09         0.10%          66.32%
spi_flash_chip_generic_reset              0.09         0.10%          66.42%
mspi_timing_psram_tuning                  0.09         0.10%          66.51%
pm_rx_data_process                        0.09         0.10%          66.61%
vTaskPlaceOnUnorderedEventList            0.09         0.10%          66.70%
esp_crosscore_isr                         0.09         0.09%          66.80%
xTaskCreatePinnedToCore                   0.09         0.09%          66.89%
os_timer_arm_us                           0.09         0.09%          66.99%
ets_timer_arm_us                          0.09         0.09%          67.08%
xRingbufferReceiveUpToFromISR             0.09         0.09%          67.18%
esp_crosscore_int_send                    0.09         0.09%          67.27%
s_set_psram_cs_timing                     0.09         0.09%          67.36%
systimer_hal_counter_value_advance        0.09         0.09%          67.45%
regi2c_ctrl_read_reg_mask                 0.09         0.09%          67.55%
wifi_bt_common_module_disable             0.09         0.09%          67.64%
periph_module_reset                       0.09         0.09%          67.73%
spi_flash_check_and_flush_cache           0.09         0.09%          67.82%
sweep_for_success_sample_points           0.08         0.09%          67.91%
gpspi_flash_ll_get_buffer_data            0.08         0.09%          68.01%
spimem_flash_ll_get_buffer_data           0.08         0.09%          68.10%
cache_writeback_items_freeze              0.08         0.09%          68.19%
pthread_mutex_lock_internal               0.08         0.09%          68.28%
mmu_hal_check_valid_ext_vaddr_region       0.08         0.09%          68.36%
hal_mac_tx_config_edca                    0.08         0.09%          68.45%
xEventGroupClearBits                      0.08         0.09%          68.54%
spi_flash_chip_generic_suspend_cmd_conf       0.08         0.09%          68.63%
rtc_brownout_isr_handler                  0.08         0.09%          68.72%
uninstall_priv_desc                       0.08         0.09%          68.80%
ram_i2c_master_reset                      0.08         0.09%          68.89%
spi_flash_hal_disable_auto_suspend_mode       0.08         0.09%          68.98%
spi_flash_hal_setup_auto_suspend_mode       0.08         0.09%          69.06%
mspi_timing_config_set_flash_clock        0.08         0.09%          69.15%
esp_cpu_unstall                           0.08         0.09%          69.24%
select_best_tuning_config                 0.08         0.09%          69.32%
spi_flash_chip_winbond_erase_sector       0.08         0.09%          69.41%
esp_mspi_pin_init                         0.08         0.09%          69.50%
mmu_hal_vaddr_to_paddr                    0.08         0.09%          69.58%
ram_chip_i2c_readReg                      0.08         0.09%          69.67%
spi_flash_chip_winbond_erase_block        0.08         0.09%          69.76%
systimer_hal_get_counter_value            0.08         0.09%          69.84%
init_spi1_for_tuning                      0.08         0.09%          69.93%
prvGetCurMaxSizeAllowSplit                0.08         0.08%          70.01%
spi_flash_chip_generic_set_write_protect       0.08         0.08%          70.10%
wifi_module_enable                        0.08         0.08%          70.18%
regi2c_ctrl_write_reg                     0.08         0.08%          70.26%
wifi_module_disable                       0.08         0.08%          70.35%
systimer_hal_counter_can_stall_by_cpu       0.08         0.08%          70.43%
mspi_timing_config_get_cs_timing          0.08         0.08%          70.52%
vEventGroupDelete                         0.08         0.08%          70.60%
memspi_host_program_page                  0.08         0.08%          70.68%
multi_heap_malloc_impl                    0.08         0.08%          70.76%
multi_heap_malloc                         0.08         0.08%          70.85%
rtc_isr                                   0.07         0.08%          70.93%
prvReturnItemByteBuf                      0.07         0.08%          71.00%
ram_wifi_tx_dig_gain                      0.07         0.08%          71.08%
vTaskStartScheduler                       0.07         0.08%          71.16%
spi_flash_chip_mxic_opi_read_reg          0.07         0.08%          71.24%
esp_error_check_failed_print              0.07         0.08%          71.32%
_gettimeofday_r                           0.07         0.08%          71.40%
sta_reset_beacon_timeout                  0.07         0.08%          71.48%
is_page_mapped_in_cache                   0.07         0.08%          71.56%
spi_flash_command_winbond_program_4B       0.07         0.08%          71.63%
s_probe_mxic_chip                         0.07         0.08%          71.71%
cache_hal_is_cache_enabled                0.07         0.08%          71.79%
s_init_psram_pins                         0.07         0.08%          71.86%
prvDeleteTCB                              0.07         0.08%          71.94%
memspi_host_erase_block                   0.07         0.08%          72.01%
esp_random                                0.07         0.08%          72.09%
s_psram_read_data                         0.07         0.07%          72.16%
ram_set_pbus_reg                          0.07         0.07%          72.24%
esp_log_timestamp                         0.07         0.07%          72.31%
pvTaskIncrementMutexHeldCount             0.07         0.07%          72.39%
memspi_host_erase_sector                  0.07         0.07%          72.46%
vTaskPlaceOnEventList                     0.07         0.07%          72.54%
flash_end_flush_cache                     0.07         0.07%          72.61%
get_buffer_malloc                         0.07         0.07%          72.68%
spi_flash_command_erase_block_4B          0.07         0.07%          72.76%
spi_flash_op_block_func                   0.07         0.07%          72.83%
multi_heap_free                           0.07         0.07%          72.90%
multi_heap_free_impl                      0.07         0.07%          72.98%
multi_heap_aligned_free                   0.07         0.07%          73.05%
lmacMSDUAged                              0.07         0.07%          73.12%
efuse_hal_get_major_chip_version          0.07         0.07%          73.20%
rtc_clk_fast_src_set                      0.07         0.07%          73.27%
xRingbufferReceive                        0.07         0.07%          73.34%
spi_ll_read_buffer                        0.07         0.07%          73.41%
spi_flash_command_winbond_erase_sector_4B       0.07         0.07%          73.48%
spi_flash_chip_gd_set_io_mode             0.07         0.07%          73.56%
rtc_get_xtal                              0.07         0.07%          73.63%
spi_flash_chip_generic_yield              0.07         0.07%          73.70%
rtc_clk_xtal_freq_get                     0.07         0.07%          73.77%
xQueueCreateCountingSemaphore             0.07         0.07%          73.84%
ram_enable_wifi_agc                       0.07         0.07%          73.91%
ram_disable_wifi_agc                      0.07         0.07%          73.98%
esp_psram_check_ptr_addr                  0.06         0.07%          74.05%
lmacAdjustTimestamp                       0.06         0.07%          74.12%
mspi_timing_config_set_psram_clock        0.06         0.07%          74.19%
mspi_timing_config_set_core_clock         0.06         0.07%          74.26%
spi_flash_hpm_probe_chip_with_dummy       0.06         0.07%          74.33%
spi_flash_chip_generic_detect_size        0.06         0.07%          74.40%
esp_timer_stop                            0.06         0.07%          74.46%
prvGetCurMaxSizeNoSplit                   0.06         0.07%          74.53%
pm_beacon_monitor_timeout_process         0.06         0.07%          74.60%
pm_enable_beacon_monitor_timer            0.06         0.07%          74.67%
xQueueTakeMutexRecursive                  0.06         0.07%          74.73%
xQueueGiveMutexRecursive                  0.06         0.07%          74.80%
ram_get_i2c_hostid                        0.06         0.07%          74.87%
ram_phy_close_rf                          0.06         0.07%          74.93%
systimer_hal_select_alarm_mode            0.06         0.07%          75.00%
efuse_hal_get_minor_chip_version          0.06         0.07%          75.06%
do_tuning                                 0.06         0.07%          75.13%
mspi_timing_enter_high_speed_mode         0.06         0.07%          75.20%
spi_bus_lock_acquire_end                  0.06         0.07%          75.26%
memspi_host_write_data_slicer             0.06         0.07%          75.33%
find_max_consecutive_success_points       0.06         0.06%          75.39%
gpspi_flash_ll_set_buffer_data            0.06         0.06%          75.45%
spimem_flash_ll_set_buffer_data           0.06         0.06%          75.52%
spi_ll_write_buffer                       0.06         0.06%          75.58%
vApplicationGetIdleTaskMemory             0.06         0.06%          75.65%
vApplicationStackOverflowHook             0.06         0.06%          75.71%
update_pend_core                          0.06         0.06%          75.77%
mmu_ll_find_entry_id_based_on_map_value       0.06         0.06%          75.84%
esp_log_impl_lock_timeout                 0.06         0.06%          75.90%
spi_flash_hal_set_write_protect           0.06         0.06%          75.96%
print_entry                               0.06         0.06%          76.02%
prvDeleteTLS                              0.06         0.06%          76.09%
vTaskInternalSetTimeOutState              0.06         0.06%          76.15%
uxTaskResetEventItemValue                 0.06         0.06%          76.21%
vTaskDelay                                0.06         0.06%          76.27%
select_best_tuning_config_dtr             0.06         0.06%          76.33%
mmu_ll_check_entry_valid                  0.06         0.06%          76.39%
s_set_flash_dtr_str_opi_mode              0.06         0.06%          76.45%
spi_flash_chip_generic_get_write_protect       0.06         0.06%          76.52%
cache_hal_resume                          0.06         0.06%          76.58%
hal_mac_deinit                            0.06         0.06%          76.64%
spi_flash_chip_mxic_opi_get_write_protect       0.06         0.06%          76.70%
cache_hal_enable                          0.06         0.06%          76.76%
shared_intr_isr                           0.06         0.06%          76.82%
spi_flash_chip_gd_probe                   0.06         0.06%          76.88%
esp_ptr_byte_accessible                   0.06         0.06%          76.94%
prvCheckItemAvail                         0.05         0.06%          77.00%
prvResetNextTaskUnblockTime               0.05         0.06%          77.06%
mmu_ll_get_entry_target                   0.05         0.06%          77.12%
assert_valid_block                        0.05         0.06%          77.17%
bootloader_flash_read_sfdp                0.05         0.06%          77.23%
xEventGroupCreate                         0.05         0.06%          77.29%
xTaskGetIdleTaskHandleForCPU              0.05         0.06%          77.35%
spi_flash_set_vendor_required_regs        0.05         0.06%          77.41%
memspi_host_read_status_hs                0.05         0.06%          77.47%
set_timing_tuning_regs_as_required        0.05         0.06%          77.53%
heap_caps_free                            0.05         0.06%          77.58%
esp_restart_noos_dig                      0.05         0.06%          77.64%
_lock_close                               0.05         0.06%          77.70%
_lock_close_recursive                     0.05         0.06%          77.76%
spi_bus_lock_bg_check_dev_req             0.05         0.06%          77.82%
pm_check_state                            0.05         0.06%          77.87%
xTaskGetSchedulerState                    0.05         0.06%          77.93%
prvInitialiseMutex                        0.05         0.06%          77.99%
